#Data tag : online , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/fb),recorded(/fb),avgpu,source
401663:11474,1:1,03/08/26 16:30:01,STABLE BEAMS,6799,0.000015352,0.000013207,63.3,HFET
401663:11474,2:2,03/08/26 16:30:24,STABLE BEAMS,6799,0.000015345,0.000014994,63.3,HFET
401663:11474,3:3,03/08/26 16:30:47,STABLE BEAMS,6799,0.000015345,0.000015009,63.3,HFET
401663:11474,4:4,03/08/26 16:31:11,STABLE BEAMS,6799,0.000015330,0.000015003,63.2,HFET
401663:11474,5:5,03/08/26 16:31:34,STABLE BEAMS,6799,0.000015322,0.000011497,63.2,HFET
401663:11474,6:6,03/08/26 16:31:57,STABLE BEAMS,6799,0.000015315,0.000014951,63.2,HFET
401663:11474,7:7,03/08/26 16:32:21,STABLE BEAMS,6799,0.000015310,0.000014971,63.1,HFET
401663:11474,8:8,03/08/26 16:32:44,STABLE BEAMS,6799,0.000015293,0.000014968,63.1,HFET
401663:11474,9:9,03/08/26 16:33:07,STABLE BEAMS,6799,0.000015278,0.000014950,63.0,HFET
401663:11474,10:10,03/08/26 16:33:30,STABLE BEAMS,6799,0.000015272,0.000014948,63.0,HFET
401663:11474,11:11,03/08/26 16:33:54,STABLE BEAMS,6799,0.000015273,0.000014953,63.0,HFET
401663:11474,12:12,03/08/26 16:34:17,STABLE BEAMS,6799,0.000015258,0.000014940,62.9,HFET
401663:11474,13:13,03/08/26 16:34:40,STABLE BEAMS,6799,0.000015245,0.000014931,62.9,HFET
401663:11474,14:14,03/08/26 16:35:04,STABLE BEAMS,6799,0.000015240,0.000014715,62.8,HFET
401663:11474,15:15,03/08/26 16:35:27,STABLE BEAMS,6799,0.000015242,0.000014702,62.9,HFET
401663:11474,16:16,03/08/26 16:35:50,STABLE BEAMS,6799,0.000015233,0.000011167,62.8,HFET
401663:11474,17:17,03/08/26 16:36:14,STABLE BEAMS,6799,0.000015221,0.000014872,62.8,HFET
401663:11474,18:18,03/08/26 16:36:37,STABLE BEAMS,6799,0.000015221,0.000014889,62.8,HFET
401663:11474,19:19,03/08/26 16:37:00,STABLE BEAMS,6799,0.000015216,0.000014893,62.8,HFET
401663:11474,45:45,03/08/26 16:47:06,STABLE BEAMS,6799,0.000015518,0.000015160,64.0,HFET
401663:11474,46:46,03/08/26 16:47:30,STABLE BEAMS,6799,0.000015514,0.000015163,64.0,HFET
401663:11474,47:47,03/08/26 16:47:53,STABLE BEAMS,6799,0.000015507,0.000005042,63.9,HFET
